frequency;V(OUTBP) (gain);
362,243;-55,8218;
363,078;-55,8018;
363,915;-55,7818;
364,754;-55,7618;
365,595;-55,7418;
366,438;-55,7218;
367,282;-55,7018;
368,129;-55,6818;
368,978;-55,6618;
369,828;-55,6418;
370,681;-55,6218;
371,535;-55,6018;
372,392;-55,5818;
373,25;-55,5618;
374,111;-55,5418;
374,973;-55,5218;
375,837;-55,5018;
376,704;-55,4818;
377,572;-55,4618;
378,443;-55,4418;
379,315;-55,4218;
380,189;-55,4018;
381,066;-55,3818;
381,944;-55,3618;
382,825;-55,3418;
383,707;-55,3218;
384,592;-55,3018;
385,478;-55,2818;
386,367;-55,2618;
387,258;-55,2418;
388,15;-55,2218;
389,045;-55,2018;
389,942;-55,1818;
390,841;-55,1618;
391,742;-55,1418;
392,645;-55,1218;
393,55;-55,1018;
394,457;-55,0818;
395,367;-55,0618;
396,278;-55,0418;
397,192;-55,0218;
398,107;-55,0018;
399,025;-54,9818;
399,945;-54,9618;
400,867;-54,9418;
401,791;-54,9218;
402,717;-54,9018;
403,645;-54,8818;
404,576;-54,8618;
405,509;-54,8418;
406,443;-54,8218;
407,38;-54,8018;
408,319;-54,7818;
409,261;-54,7618;
410,204;-54,7418;
411,15;-54,7218;
412,098;-54,7018;
413,048;-54,6818;
414;-54,6618;
414,954;-54,6418;
415,911;-54,6218;
416,869;-54,6018;
417,83;-54,5818;
418,794;-54,5618;
419,759;-54,5417;
420,727;-54,5217;
421,697;-54,5017;
422,669;-54,4817;
423,643;-54,4617;
424,62;-54,4417;
425,598;-54,4217;
426,58;-54,4017;
427,563;-54,3817;
428,549;-54,3617;
429,536;-54,3417;
430,527;-54,3217;
431,519;-54,3017;
432,514;-54,2817;
433,511;-54,2617;
434,51;-54,2417;
435,512;-54,2217;
436,516;-54,2017;
437,522;-54,1817;
438,531;-54,1617;
439,542;-54,1417;
440,555;-54,1217;
441,57;-54,1017;
442,588;-54,0817;
443,609;-54,0617;
444,631;-54,0417;
445,656;-54,0217;
446,684;-54,0017;
447,713;-53,9817;
448,745;-53,9617;
449,78;-53,9417;
450,817;-53,9217;
451,856;-53,9017;
452,898;-53,8817;
453,942;-53,8617;
454,988;-53,8417;
456,037;-53,8217;
457,088;-53,8017;
458,142;-53,7817;
459,198;-53,7617;
460,257;-53,7417;
461,318;-53,7217;
462,381;-53,7017;
463,447;-53,6817;
464,515;-53,6617;
465,586;-53,6417;
466,659;-53,6217;
467,735;-53,6017;
468,813;-53,5817;
469,894;-53,5617;
470,977;-53,5417;
472,063;-53,5217;
473,151;-53,5017;
474,242;-53,4817;
475,335;-53,4617;
476,431;-53,4417;
477,529;-53,4217;
478,63;-53,4017;
479,733;-53,3817;
480,839;-53,3617;
481,948;-53,3417;
483,059;-53,3217;
484,172;-53,3017;
485,289;-53,2817;
486,407;-53,2617;
487,528;-53,2417;
488,652;-53,2217;
489,779;-53,2016;
490,908;-53,1816;
492,04;-53,1616;
493,174;-53,1416;
494,311;-53,1216;
495,45;-53,1016;
496,592;-53,0816;
497,737;-53,0616;
498,884;-53,0416;
500,035;-53,0216;
501,187;-53,0016;
502,343;-52,9816;
503,501;-52,9616;
504,661;-52,9416;
505,825;-52,9216;
506,991;-52,9016;
508,159;-52,8816;
509,331;-52,8616;
510,505;-52,8416;
511,682;-52,8216;
512,861;-52,8016;
514,044;-52,7816;
515,229;-52,7616;
516,416;-52,7416;
517,607;-52,7216;
518,8;-52,7016;
519,996;-52,6816;
521,195;-52,6616;
522,396;-52,6416;
523,6;-52,6216;
524,807;-52,6016;
526,017;-52,5816;
527,23;-52,5616;
528,445;-52,5416;
529,663;-52,5216;
530,884;-52,5016;
